segment_id,lifecycle_stage,time_window,priority,expected_ctr,expected_engagement,uninstall_risk,composite_score,confidence,total_samples,optimization_method
2,all,late_afternoon,1,0.12913440119360511,0.32283600298401277,0,0.08776141343155636,MEDIUM,244,behavioral_pattern
2,all,afternoon,2,0.12913440119360511,0.32283600298401277,0,0.08417931492414588,MEDIUM,244,behavioral_pattern
4,all,early_morning,1,0.12784895109874173,0.3196223777468543,0,0.09070801215018731,MEDIUM,175,behavioral_pattern
4,all,late_afternoon,2,0.12784895109874173,0.3196223777468543,0,0.07877274739358373,MEDIUM,175,behavioral_pattern
3,all,mid_morning,1,0.14324950598926672,0.3581237649731668,0,0.1464902622217098,MEDIUM,155,behavioral_pattern
3,all,afternoon,2,0.14324950598926672,0.3581237649731668,0,0.11719220977736784,MEDIUM,155,behavioral_pattern
1,all,afternoon,1,0.13978243280464708,0.3494560820116177,0,0.12058405798299765,MEDIUM,193,behavioral_pattern
1,all,mid_morning,2,0.13978243280464708,0.3494560820116177,0,0.11130836121507476,MEDIUM,193,behavioral_pattern
5,all,evening,1,0.1302583289232366,0.3256458223080915,0,0.1083880439041311,MEDIUM,201,behavioral_pattern
5,all,afternoon,2,0.1302583289232366,0.3256458223080915,0,0.09258145416811199,MEDIUM,201,behavioral_pattern
0,all,late_afternoon,1,0.13734041360223734,0.34335103400559336,0,0.17503318876048746,MEDIUM,32,behavioral_pattern
0,all,night,2,0.13734041360223734,0.34335103400559336,0,0.14002655100838995,MEDIUM,32,behavioral_pattern
